"day","sw_name","position"
2023-05-26 08:00:00,汽车零部件II,1
2023-05-26 08:00:00,通用机械II,2
2023-05-26 08:00:00,电网设备II,3
2023-05-26 08:00:00,专用设备II,4
2023-05-26 08:00:00,自动化设备II,5
2023-05-26 08:00:00,电力II,6
2023-05-26 08:00:00,化学制药II,7
2023-05-26 08:00:00,中药II,8
2023-05-26 08:00:00,医疗器械II,9
2023-05-26 08:00:00,光学光电子II,10
2023-05-26 08:00:00,化学制品II,11
2023-05-26 08:00:00,计算机设备II,12
2023-05-26 08:00:00,通信设备II,13
2023-05-26 08:00:00,环境治理II,14
2023-05-26 08:00:00,IT服务II,15
2023-05-26 08:00:00,电机II,16
2023-05-26 08:00:00,塑料II,17
2023-05-26 08:00:00,电子制造II,18
2023-05-26 08:00:00,家电零部件II,19
2023-05-26 08:00:00,电源设备II,20
2023-05-26 08:00:00,软件开发II,21
2023-05-26 08:00:00,元件II,22
2023-05-26 08:00:00,光伏设备II,23
2023-05-26 08:00:00,环保设备II,24
2023-05-26 08:00:00,航空装备II,25
2023-05-26 08:00:00,服装家纺II,26
2023-05-26 08:00:00,燃气II,27
2023-05-26 08:00:00,半导体II,28
2023-05-26 08:00:00,电子化学品II,29
2023-05-26 08:00:00,电池II,30
2023-05-26 08:00:00,运输设备II,31
2023-05-26 08:00:00,其他电子II,32
2023-05-26 08:00:00,医疗服务II,33
2023-05-26 08:00:00,工程咨询服务II,34
2023-05-26 08:00:00,游戏II,35
2023-05-26 08:00:00,基础建设II,36
2023-05-26 08:00:00,船舶制造II,37
2023-05-26 08:00:00,军工电子II,38
2023-05-26 08:00:00,通信运营II,39
2023-05-26 08:00:00,农化制品II,40
2023-05-26 08:00:00,风电设备II,41
2023-05-26 08:00:00,工业金属II,42
2023-05-26 08:00:00,家用轻工II,43
2023-05-26 08:00:00,房地产开发II,44
2023-05-26 08:00:00,包装印刷II,45
2023-05-26 08:00:00,广告营销II,46
2023-05-26 08:00:00,出版II,47
2023-05-26 08:00:00,其他建材II,48
2023-05-26 08:00:00,物流II,49
2023-05-26 08:00:00,水泥制造II,50
2023-05-26 08:00:00,教育II,51
2023-05-26 08:00:00,铁路公路II,52
2023-05-26 08:00:00,互联网电商II,53
2023-05-26 08:00:00,纺织制造II,54
2023-05-26 08:00:00,装修装饰II,55
2023-05-26 08:00:00,化妆品II,56
2023-05-26 08:00:00,地面兵装II,57
2023-05-26 08:00:00,化学纤维II,58
2023-05-26 08:00:00,金属非金属新材料II,59
2023-05-26 08:00:00,专业服务II,60
2023-05-26 08:00:00,Nan,61
2023-05-26 08:00:00,造纸II,62
2023-05-26 08:00:00,文娱用品II,63
2023-05-26 08:00:00,工程机械II,64
2023-05-26 08:00:00,视听器材II,65
2023-05-26 08:00:00,休闲食品II,66
2023-05-26 08:00:00,冶钢原料II,67
2023-05-26 08:00:00,炼化及贸易II,68
2023-05-26 08:00:00,白酒II,69
2023-05-26 08:00:00,航天装备II,70
2023-05-26 08:00:00,照明设备II,71
2023-05-26 08:00:00,综合II,72
2023-05-26 08:00:00,饰品II,73
2023-05-26 08:00:00,证券II,74
2023-05-26 08:00:00,一般零售II,75
2023-05-26 08:00:00,化学原料II,76
2023-05-26 08:00:00,渔业II,77
2023-05-26 08:00:00,商用车II,78
2023-05-26 08:00:00,医药商业II,79
2023-05-26 08:00:00,专业工程II,80
2023-05-26 08:00:00,小家电II,81
2023-05-26 08:00:00,个护用品II,82
2023-05-26 08:00:00,数字媒体II,83
2023-05-26 08:00:00,旅游及景区II,84
2023-05-26 08:00:00,非白酒II,85
2023-05-26 08:00:00,特钢II,86
2023-05-26 08:00:00,生物制品II,87
2023-05-26 08:00:00,普钢II,88
2023-05-25 08:00:00,通用机械II,1
2023-05-25 08:00:00,电网设备II,2
2023-05-25 08:00:00,专用设备II,3
2023-05-25 08:00:00,汽车零部件II,4
2023-05-25 08:00:00,电力II,5
2023-05-25 08:00:00,自动化设备II,6
2023-05-25 08:00:00,光学光电子II,7
2023-05-25 08:00:00,化学制品II,8
2023-05-25 08:00:00,光伏设备II,9
2023-05-25 08:00:00,化学制药II,10
2023-05-25 08:00:00,风电设备II,11
2023-05-25 08:00:00,服装家纺II,12
2023-05-25 08:00:00,医疗器械II,13
2023-05-25 08:00:00,中药II,14
2023-05-25 08:00:00,计算机设备II,15
2023-05-25 08:00:00,通信设备II,16
2023-05-25 08:00:00,电源设备II,17
2023-05-25 08:00:00,环境治理II,18
2023-05-25 08:00:00,电子制造II,19
2023-05-25 08:00:00,电机II,20
2023-05-25 08:00:00,塑料II,21
2023-05-25 08:00:00,家用轻工II,22
2023-05-25 08:00:00,IT服务II,23
2023-05-25 08:00:00,燃气II,24
2023-05-25 08:00:00,军工电子II,25
2023-05-25 08:00:00,航空装备II,26
2023-05-25 08:00:00,家电零部件II,27
2023-05-25 08:00:00,其他电子II,28
2023-05-25 08:00:00,环保设备II,29
2023-05-25 08:00:00,基础建设II,30
2023-05-25 08:00:00,农化制品II,31
2023-05-25 08:00:00,运输设备II,32
2023-05-25 08:00:00,船舶制造II,33
2023-05-25 08:00:00,纺织制造II,34
2023-05-25 08:00:00,电池II,35
2023-05-25 08:00:00,软件开发II,36
2023-05-25 08:00:00,工程咨询服务II,37
2023-05-25 08:00:00,其他建材II,38
2023-05-25 08:00:00,医疗服务II,39
2023-05-25 08:00:00,电子化学品II,40
2023-05-25 08:00:00,半导体II,41
2023-05-25 08:00:00,Nan,42
2023-05-25 08:00:00,物流II,43
2023-05-25 08:00:00,文娱用品II,44
2023-05-25 08:00:00,包装印刷II,45
2023-05-25 08:00:00,铁路公路II,46
2023-05-25 08:00:00,广告营销II,47
2023-05-25 08:00:00,休闲食品II,48
2023-05-25 08:00:00,游戏II,49
2023-05-25 08:00:00,装修装饰II,50
2023-05-25 08:00:00,地面兵装II,51
2023-05-25 08:00:00,工业金属II,52
2023-05-25 08:00:00,化妆品II,53
2023-05-25 08:00:00,炼化及贸易II,54
2023-05-25 08:00:00,房地产开发II,55
2023-05-25 08:00:00,综合II,56
2023-05-25 08:00:00,照明设备II,57
2023-05-25 08:00:00,小家电II,58
2023-05-25 08:00:00,造纸II,59
2023-05-25 08:00:00,专业服务II,60
2023-05-25 08:00:00,金属非金属新材料II,61
2023-05-25 08:00:00,生物制品II,62
2023-05-25 08:00:00,专业工程II,63
2023-05-25 08:00:00,工程机械II,64
2023-05-25 08:00:00,个护用品II,65
2023-05-25 08:00:00,厨卫电器II,66
2023-05-25 08:00:00,互联网电商II,67
2023-05-25 08:00:00,元件II,68
2023-05-25 08:00:00,白酒II,69
2023-05-25 08:00:00,视听器材II,70
2023-05-25 08:00:00,冶钢原料II,71
2023-05-25 08:00:00,航天装备II,72
2023-05-25 08:00:00,通信运营II,73
2023-05-25 08:00:00,渔业II,74
2023-05-25 08:00:00,调味发酵品II,75
2023-05-25 08:00:00,化学纤维II,76
2023-05-25 08:00:00,多元金融II,77
2023-05-25 08:00:00,医药商业II,78
2023-05-25 08:00:00,农产品加工II,79
2023-05-25 08:00:00,特钢II,80
2023-05-25 08:00:00,非白酒II,81
2023-05-25 08:00:00,油服工程II,82
2023-05-25 08:00:00,食品加工II,83
2023-05-25 08:00:00,商用车II,84
2023-05-25 08:00:00,饮料乳品II,85
2023-05-25 08:00:00,饰品II,86
2023-05-25 08:00:00,体育II,87
2023-05-25 08:00:00,橡胶II,88
2023-05-24 08:00:00,通用机械II,1
2023-05-24 08:00:00,电网设备II,2
2023-05-24 08:00:00,专用设备II,3
2023-05-24 08:00:00,汽车零部件II,4
2023-05-24 08:00:00,电力II,5
2023-05-24 08:00:00,自动化设备II,6
2023-05-24 08:00:00,化学制药II,7
2023-05-24 08:00:00,服装家纺II,8
2023-05-24 08:00:00,化学制品II,9
2023-05-24 08:00:00,医疗器械II,10
2023-05-24 08:00:00,光学光电子II,11
2023-05-24 08:00:00,环境治理II,12
2023-05-24 08:00:00,计算机设备II,13
2023-05-24 08:00:00,中药II,14
2023-05-24 08:00:00,通信设备II,15
2023-05-24 08:00:00,家用轻工II,16
2023-05-24 08:00:00,风电设备II,17
2023-05-24 08:00:00,塑料II,18
2023-05-24 08:00:00,光伏设备II,19
2023-05-24 08:00:00,电子制造II,20
2023-05-24 08:00:00,包装印刷II,21
2023-05-24 08:00:00,IT服务II,22
2023-05-24 08:00:00,运输设备II,23
2023-05-24 08:00:00,电机II,24
2023-05-24 08:00:00,家电零部件II,25
2023-05-24 08:00:00,农化制品II,26
2023-05-24 08:00:00,其他电子II,27
2023-05-24 08:00:00,游戏II,28
2023-05-24 08:00:00,软件开发II,29
2023-05-24 08:00:00,物流II,30
2023-05-24 08:00:00,航空装备II,31
2023-05-24 08:00:00,环保设备II,32
2023-05-24 08:00:00,互联网电商II,33
2023-05-24 08:00:00,医疗服务II,34
2023-05-24 08:00:00,电子化学品II,35
2023-05-24 08:00:00,电池II,36
2023-05-24 08:00:00,工程咨询服务II,37
2023-05-24 08:00:00,装修装饰II,38
2023-05-24 08:00:00,船舶制造II,39
2023-05-24 08:00:00,基础建设II,40
2023-05-24 08:00:00,其他建材II,41
2023-05-24 08:00:00,Nan,42
2023-05-24 08:00:00,电源设备II,43
2023-05-24 08:00:00,休闲食品II,44
2023-05-24 08:00:00,化妆品II,45
2023-05-24 08:00:00,房地产开发II,46
2023-05-24 08:00:00,半导体II,47
2023-05-24 08:00:00,专业服务II,48
2023-05-24 08:00:00,化学纤维II,49
2023-05-24 08:00:00,生物制品II,50
2023-05-24 08:00:00,文娱用品II,51
2023-05-24 08:00:00,造纸II,52
2023-05-24 08:00:00,工程机械II,53
2023-05-24 08:00:00,个护用品II,54
2023-05-24 08:00:00,燃气II,55
2023-05-24 08:00:00,广告营销II,56
2023-05-24 08:00:00,铁路公路II,57
2023-05-24 08:00:00,医药商业II,58
2023-05-24 08:00:00,饮料乳品II,59
2023-05-24 08:00:00,纺织制造II,60
2023-05-24 08:00:00,工业金属II,61
2023-05-24 08:00:00,一般零售II,62
2023-05-24 08:00:00,元件II,63
2023-05-24 08:00:00,非白酒II,64
2023-05-24 08:00:00,金属非金属新材料II,65
2023-05-24 08:00:00,其他交运设备II,66
2023-05-24 08:00:00,教育II,67
2023-05-24 08:00:00,数字媒体II,68
2023-05-24 08:00:00,军工电子II,69
2023-05-24 08:00:00,特钢II,70
2023-05-24 08:00:00,白酒II,71
2023-05-24 08:00:00,炼化及贸易II,72
2023-05-24 08:00:00,普钢II,73
2023-05-24 08:00:00,农产品加工II,74
2023-05-24 08:00:00,多元金融II,75
2023-05-24 08:00:00,综合II,76
2023-05-24 08:00:00,冶钢原料II,77
2023-05-24 08:00:00,贸易II,78
2023-05-24 08:00:00,小家电II,79
2023-05-24 08:00:00,航天装备II,80
2023-05-24 08:00:00,照明设备II,81
2023-05-24 08:00:00,专业工程II,82
2023-05-24 08:00:00,饰品II,83
2023-05-24 08:00:00,渔业II,84
2023-05-24 08:00:00,橡胶II,85
2023-05-24 08:00:00,体育II,86
2023-05-24 08:00:00,调味发酵品II,87
2023-05-24 08:00:00,影视院线II,88
2023-05-24 08:00:00,油服工程II,89
2023-05-23 08:00:00,电网设备II,1
2023-05-23 08:00:00,汽车零部件II,2
2023-05-23 08:00:00,通用机械II,3
2023-05-23 08:00:00,化学制药II,4
2023-05-23 08:00:00,专用设备II,5
2023-05-23 08:00:00,电力II,6
2023-05-23 08:00:00,中药II,7
2023-05-23 08:00:00,服装家纺II,8
2023-05-23 08:00:00,自动化设备II,9
2023-05-23 08:00:00,医疗器械II,10
2023-05-23 08:00:00,化学制品II,11
2023-05-23 08:00:00,环境治理II,12
2023-05-23 08:00:00,家用轻工II,13
2023-05-23 08:00:00,通信设备II,14
2023-05-23 08:00:00,光学光电子II,15
2023-05-23 08:00:00,风电设备II,16
2023-05-23 08:00:00,生物制品II,17
2023-05-23 08:00:00,一般零售II,18
2023-05-23 08:00:00,医药商业II,19
2023-05-23 08:00:00,电机II,20
2023-05-23 08:00:00,航空装备II,21
2023-05-23 08:00:00,纺织制造II,22
2023-05-23 08:00:00,船舶制造II,23
2023-05-23 08:00:00,饮料乳品II,24
2023-05-23 08:00:00,燃气II,25
2023-05-23 08:00:00,环保设备II,26
2023-05-23 08:00:00,电源设备II,27
2023-05-23 08:00:00,计算机设备II,28
2023-05-23 08:00:00,物流II,29
2023-05-23 08:00:00,农化制品II,30
2023-05-23 08:00:00,运输设备II,31
2023-05-23 08:00:00,电子制造II,32
2023-05-23 08:00:00,个护用品II,33
2023-05-23 08:00:00,教育II,34
2023-05-23 08:00:00,休闲食品II,35
2023-05-23 08:00:00,医疗服务II,36
2023-05-23 08:00:00,光伏设备II,37
2023-05-23 08:00:00,IT服务II,38
2023-05-23 08:00:00,Nan,39
2023-05-23 08:00:00,小家电II,40
2023-05-23 08:00:00,装修装饰II,41
2023-05-23 08:00:00,农产品加工II,42
2023-05-23 08:00:00,其他建材II,43
2023-05-23 08:00:00,塑料II,44
2023-05-23 08:00:00,广告营销II,45
2023-05-23 08:00:00,铁路公路II,46
2023-05-23 08:00:00,其他电子II,47
2023-05-23 08:00:00,房地产开发II,48
2023-05-23 08:00:00,互联网电商II,49
2023-05-23 08:00:00,专业服务II,50
2023-05-23 08:00:00,专业工程II,51
2023-05-23 08:00:00,化妆品II,52
2023-05-23 08:00:00,军工电子II,53
2023-05-23 08:00:00,非白酒II,54
2023-05-23 08:00:00,基础建设II,55
2023-05-23 08:00:00,家电零部件II,56
2023-05-23 08:00:00,包装印刷II,57
2023-05-23 08:00:00,造纸II,58
2023-05-23 08:00:00,游戏II,59
2023-05-23 08:00:00,软件开发II,60
2023-05-23 08:00:00,特钢II,61
2023-05-23 08:00:00,航天装备II,62
2023-05-23 08:00:00,电池II,63
2023-05-23 08:00:00,工业金属II,64
2023-05-23 08:00:00,工程咨询服务II,65
2023-05-23 08:00:00,工程机械II,66
2023-05-23 08:00:00,专业零售II,67
2023-05-23 08:00:00,化学纤维II,68
2023-05-23 08:00:00,渔业II,69
2023-05-23 08:00:00,金属非金属新材料II,70
2023-05-23 08:00:00,通信运营II,71
2023-05-23 08:00:00,电子化学品II,72
2023-05-23 08:00:00,数字媒体II,73
2023-05-23 08:00:00,白酒II,74
2023-05-23 08:00:00,出版II,75
2023-05-23 08:00:00,半导体II,76
2023-05-23 08:00:00,种植业II,77
2023-05-23 08:00:00,普钢II,78
2023-05-23 08:00:00,食品加工II,79
2023-05-23 08:00:00,贸易II,80
2023-05-23 08:00:00,文娱用品II,81
2023-05-23 08:00:00,橡胶II,82
2023-05-23 08:00:00,照明设备II,83
2023-05-23 08:00:00,多元金融II,84
2023-05-23 08:00:00,调味发酵品II,85
2023-05-23 08:00:00,冶钢原料II,86
2023-05-23 08:00:00,商用车II,87
2023-05-23 08:00:00,地面兵装II,88
2023-05-23 08:00:00,乘用车II,89
2023-05-23 08:00:00,其他交运设备II,90
2023-05-23 08:00:00,白色家电II,91
2023-05-23 08:00:00,综合II,92
2023-05-23 08:00:00,畜禽养殖II,93
2023-05-23 08:00:00,保险II,94
2023-05-23 08:00:00,汽车服务II,95
2023-05-22 08:00:00,电网设备II,1
2023-05-22 08:00:00,电力II,2
2023-05-22 08:00:00,通用机械II,3
2023-05-22 08:00:00,汽车零部件II,4
2023-05-22 08:00:00,专用设备II,5
2023-05-22 08:00:00,化学制药II,6
2023-05-22 08:00:00,自动化设备II,7
2023-05-22 08:00:00,服装家纺II,8
2023-05-22 08:00:00,医疗器械II,9
2023-05-22 08:00:00,化学制品II,10
2023-05-22 08:00:00,环境治理II,11
2023-05-22 08:00:00,中药II,12
2023-05-22 08:00:00,通信设备II,13
2023-05-22 08:00:00,光学光电子II,14
2023-05-22 08:00:00,计算机设备II,15
2023-05-22 08:00:00,风电设备II,16
2023-05-22 08:00:00,家用轻工II,17
2023-05-22 08:00:00,饮料乳品II,18
2023-05-22 08:00:00,电子制造II,19
2023-05-22 08:00:00,纺织制造II,20
2023-05-22 08:00:00,物流II,21
2023-05-22 08:00:00,医药商业II,22
2023-05-22 08:00:00,一般零售II,23
2023-05-22 08:00:00,航空装备II,24
2023-05-22 08:00:00,燃气II,25
2023-05-22 08:00:00,IT服务II,26
2023-05-22 08:00:00,电机II,27
2023-05-22 08:00:00,生物制品II,28
2023-05-22 08:00:00,化妆品II,29
2023-05-22 08:00:00,软件开发II,30
2023-05-22 08:00:00,铁路公路II,31
2023-05-22 08:00:00,医疗服务II,32
2023-05-22 08:00:00,房地产开发II,33
2023-05-22 08:00:00,农化制品II,34
2023-05-22 08:00:00,基础建设II,35
2023-05-22 08:00:00,专业服务II,36
2023-05-22 08:00:00,运输设备II,37
2023-05-22 08:00:00,家电零部件II,38
2023-05-22 08:00:00,工程咨询服务II,39
2023-05-22 08:00:00,包装印刷II,40
2023-05-22 08:00:00,电池II,41
2023-05-22 08:00:00,农产品加工II,42
2023-05-22 08:00:00,个护用品II,43
2023-05-22 08:00:00,船舶制造II,44
2023-05-22 08:00:00,Nan,45
2023-05-22 08:00:00,特钢II,46
2023-05-22 08:00:00,白酒II,47
2023-05-22 08:00:00,白色家电II,48
2023-05-22 08:00:00,贸易II,49
2023-05-22 08:00:00,多元金融II,50
2023-05-22 08:00:00,其他建材II,51
2023-05-22 08:00:00,通信运营II,52
2023-05-22 08:00:00,电源设备II,53
2023-05-22 08:00:00,广告营销II,54
2023-05-22 08:00:00,游戏II,55
2023-05-22 08:00:00,教育II,56
2023-05-22 08:00:00,影视院线II,57
2023-05-22 08:00:00,商用车II,58
2023-05-22 08:00:00,电子化学品II,59
2023-05-22 08:00:00,专业工程II,60
2023-05-22 08:00:00,休闲食品II,61
2023-05-22 08:00:00,文娱用品II,62
2023-05-22 08:00:00,种植业II,63
2023-05-22 08:00:00,光伏设备II,64
2023-05-22 08:00:00,互联网电商II,65
2023-05-22 08:00:00,军工电子II,66
2023-05-22 08:00:00,航天装备II,67
2023-05-22 08:00:00,小家电II,68
2023-05-22 08:00:00,塑料II,69
2023-05-22 08:00:00,装修装饰II,70
2023-05-22 08:00:00,普钢II,71
2023-05-22 08:00:00,环保设备II,72
2023-05-22 08:00:00,非白酒II,73
2023-05-22 08:00:00,工程机械II,74
2023-05-22 08:00:00,视听器材II,75
2023-05-22 08:00:00,照明设备II,76
2023-05-22 08:00:00,食品加工II,77
2023-05-22 08:00:00,专业零售II,78
2023-05-22 08:00:00,橡胶II,79
2023-05-22 08:00:00,化学纤维II,80
2023-05-22 08:00:00,其他交运设备II,81
2023-05-22 08:00:00,数字媒体II,82
2023-05-22 08:00:00,出版II,83
2023-05-22 08:00:00,其他电子II,84
2023-05-22 08:00:00,地面兵装II,85
2023-05-22 08:00:00,保险II,86
2023-05-22 08:00:00,造纸II,87
2023-05-22 08:00:00,渔业II,88
2023-05-22 08:00:00,半导体II,89
2023-05-22 08:00:00,冶钢原料II,90
2023-05-22 08:00:00,饰品II,91
2023-05-22 08:00:00,城商行II,92
2023-05-22 08:00:00,工业金属II,93
2023-05-22 08:00:00,体育II,94
2023-05-22 08:00:00,煤炭开采II,95
2023-05-22 08:00:00,调味发酵品II,96
2023-05-22 08:00:00,综合II,97
2023-05-19 08:00:00,电网设备II,1
2023-05-19 08:00:00,通用机械II,2
2023-05-19 08:00:00,专用设备II,3
2023-05-19 08:00:00,汽车零部件II,4
2023-05-19 08:00:00,自动化设备II,5
2023-05-19 08:00:00,服装家纺II,6
2023-05-19 08:00:00,化学制药II,7
2023-05-19 08:00:00,中药II,8
2023-05-19 08:00:00,电力II,9
2023-05-19 08:00:00,医疗器械II,10
2023-05-19 08:00:00,环境治理II,11
2023-05-19 08:00:00,化学制品II,12
2023-05-19 08:00:00,计算机设备II,13
2023-05-19 08:00:00,通信设备II,14
2023-05-19 08:00:00,光学光电子II,15
2023-05-19 08:00:00,IT服务II,16
2023-05-19 08:00:00,航空装备II,17
2023-05-19 08:00:00,电子制造II,18
2023-05-19 08:00:00,风电设备II,19
2023-05-19 08:00:00,医药商业II,20
2023-05-19 08:00:00,家用轻工II,21
2023-05-19 08:00:00,船舶制造II,22
2023-05-19 08:00:00,纺织制造II,23
2023-05-19 08:00:00,包装印刷II,24
2023-05-19 08:00:00,软件开发II,25
2023-05-19 08:00:00,文娱用品II,26
2023-05-19 08:00:00,一般零售II,27
2023-05-19 08:00:00,燃气II,28
2023-05-19 08:00:00,电源设备II,29
2023-05-19 08:00:00,游戏II,30
2023-05-19 08:00:00,铁路公路II,31
2023-05-19 08:00:00,教育II,32
2023-05-19 08:00:00,互联网电商II,33
2023-05-19 08:00:00,电机II,34
2023-05-19 08:00:00,工程咨询服务II,35
2023-05-19 08:00:00,半导体II,36
2023-05-19 08:00:00,多元金融II,37
2023-05-19 08:00:00,其他建材II,38
2023-05-19 08:00:00,家电零部件II,39
2023-05-19 08:00:00,煤炭开采II,40
2023-05-19 08:00:00,通信运营II,41
2023-05-19 08:00:00,广告营销II,42
2023-05-19 08:00:00,房地产开发II,43
2023-05-19 08:00:00,农化制品II,44
2023-05-19 08:00:00,塑料II,45
2023-05-19 08:00:00,饮料乳品II,46
2023-05-19 08:00:00,贸易II,47
2023-05-19 08:00:00,城商行II,48
2023-05-19 08:00:00,电池II,49
2023-05-19 08:00:00,电子化学品II,50
2023-05-19 08:00:00,基础建设II,51
2023-05-19 08:00:00,专业工程II,52
2023-05-19 08:00:00,Nan,53
2023-05-19 08:00:00,白色家电II,54
2023-05-19 08:00:00,专业服务II,55
2023-05-19 08:00:00,休闲食品II,56
2023-05-19 08:00:00,特钢II,57
2023-05-19 08:00:00,国有大型银行II,58
2023-05-19 08:00:00,军工电子II,59
2023-05-19 08:00:00,运输设备II,60
2023-05-19 08:00:00,造纸II,61
2023-05-19 08:00:00,其他电子II,62
2023-05-19 08:00:00,出版II,63
2023-05-19 08:00:00,影视院线II,64
2023-05-19 08:00:00,商用车II,65
2023-05-19 08:00:00,化妆品II,66
2023-05-19 08:00:00,光伏设备II,67
2023-05-19 08:00:00,体育II,68
2023-05-19 08:00:00,地面兵装II,69
2023-05-19 08:00:00,小家电II,70
2023-05-19 08:00:00,航天装备II,71
2023-05-19 08:00:00,股份制银行II,72
2023-05-19 08:00:00,普钢II,73
2023-05-19 08:00:00,装修装饰II,74
2023-05-19 08:00:00,视听器材II,75
2023-05-19 08:00:00,非白酒II,76
2023-05-19 08:00:00,橡胶II,77
2023-05-19 08:00:00,汽车服务II,78
2023-05-19 08:00:00,物流II,79
2023-05-19 08:00:00,照明设备II,80
2023-05-19 08:00:00,综合II,81
2023-05-19 08:00:00,个护用品II,82
2023-05-19 08:00:00,其他交运设备II,83
2023-05-19 08:00:00,种植业II,84
2023-05-19 08:00:00,数字媒体II,85
2023-05-19 08:00:00,白酒II,86
2023-05-19 08:00:00,炼化及贸易II,87
2023-05-19 08:00:00,保险II,88
2023-05-19 08:00:00,环保设备II,89
2023-05-19 08:00:00,食品加工II,90
2023-05-19 08:00:00,冶钢原料II,91
2023-05-19 08:00:00,医疗服务II,92
2023-05-19 08:00:00,农商行II,93
2023-05-19 08:00:00,渔业II,94
2023-05-19 08:00:00,生物制品II,95
2023-05-19 08:00:00,专业零售II,96
2023-05-19 08:00:00,工程机械II,97
2023-05-19 08:00:00,工业金属II,98
2023-05-19 08:00:00,化学纤维II,99
2023-05-19 08:00:00,元件II,100
2023-05-19 08:00:00,金属非金属新材料II,101
2023-05-18 08:00:00,电网设备II,1
2023-05-18 08:00:00,通用机械II,2
2023-05-18 08:00:00,电力II,3
2023-05-18 08:00:00,汽车零部件II,4
2023-05-18 08:00:00,服装家纺II,5
2023-05-18 08:00:00,专用设备II,6
2023-05-18 08:00:00,环境治理II,7
2023-05-18 08:00:00,自动化设备II,8
2023-05-18 08:00:00,通信设备II,9
2023-05-18 08:00:00,化学制品II,10
2023-05-18 08:00:00,一般零售II,11
2023-05-18 08:00:00,医疗器械II,12
2023-05-18 08:00:00,计算机设备II,13
2023-05-18 08:00:00,铁路公路II,14
2023-05-18 08:00:00,化学制药II,15
2023-05-18 08:00:00,房地产开发II,16
2023-05-18 08:00:00,船舶制造II,17
2023-05-18 08:00:00,煤炭开采II,18
2023-05-18 08:00:00,IT服务II,19
2023-05-18 08:00:00,电机II,20
2023-05-18 08:00:00,风电设备II,21
2023-05-18 08:00:00,电子制造II,22
2023-05-18 08:00:00,城商行II,23
